direction,sign,offset,lower_angle,upper_angle,lower_flare,upper_flare,case_label
offset,minus,-0.0006238770,4.6201132000,0.1714639800,0.0020391410,0.0006926930,nm_tke_p1_offset_minus_0p1pct
offset,plus,-0.0005838770,4.6201132000,0.1714639800,0.0020391410,0.0006926930,nm_tke_p1_offset_plus_0p1pct
lower_angle,minus,-0.0006038770,4.5901132000,0.1714639800,0.0020391410,0.0006926930,nm_tke_p1_lower_angle_minus_0p1pct
lower_angle,plus,-0.0006038770,4.6501132000,0.1714639800,0.0020391410,0.0006926930,nm_tke_p1_lower_angle_plus_0p1pct
upper_angle,minus,-0.0006038770,4.6201132000,0.1414639800,0.0020391410,0.0006926930,nm_tke_p1_upper_angle_minus_0p1pct
upper_angle,plus,-0.0006038770,4.6201132000,0.2014639800,0.0020391410,0.0006926930,nm_tke_p1_upper_angle_plus_0p1pct
lower_flare,minus,-0.0006038770,4.6201132000,0.1714639800,0.0020366410,0.0006926930,nm_tke_p1_lower_flare_minus_0p1pct
lower_flare,plus,-0.0006038770,4.6201132000,0.1714639800,0.0020416410,0.0006926930,nm_tke_p1_lower_flare_plus_0p1pct
upper_flare,minus,-0.0006038770,4.6201132000,0.1714639800,0.0020391410,0.0006901930,nm_tke_p1_upper_flare_minus_0p1pct
upper_flare,plus,-0.0006038770,4.6201132000,0.1714639800,0.0020391410,0.0006951930,nm_tke_p1_upper_flare_plus_0p1pct
